scientific_name,common_name,class_name,order_name,family_name,genus_name,species_name,assessment_year,species_recovery_score_best,species_recovery_category,conservation_legacy_category,conservation_dependence_category,conservation_gain_category,recovery_potential_category,url
Gongylomorphus bojerii,Bojer's Skink,REPTILIA,SQUAMATA,SCINCIDAE,Gongylomorphus,bojerii,2024,18%,Critically Depleted,Low,Low,Zero,Low,https://www.iucnredlist.org/species/62251/217761064
Marmota menzbieri,Menzbier's Marmot,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,menzbieri,2024,13%,Critically Depleted,Zero,Low,Low,Medium,https://www.iucnredlist.org/species/12827/229617076
Nanger dama,Dama Gazelle,MAMMALIA,ARTIODACTYLA,BOVIDAE,Nanger,dama,2024,14%,Critically Depleted,Zero,Zero,Zero,High,https://www.iucnredlist.org/species/8968/50186128
Platalea minor,Black-faced Spoonbill,AVES,PELECANIFORMES,THRESKIORNITHIDAE,Platalea,minor,2023,35%,Largely Depleted,High,High,Zero,High,https://www.iucnredlist.org/species/22697568/119347801
Porcula salvania,Pygmy Hog,MAMMALIA,ARTIODACTYLA,SUIDAE,Porcula,salvania,2022,8%,Critically Depleted,High,Low,Low,Medium,https://www.iucnredlist.org/species/21172/44139115
Rhinoderma darwinii,Southern Darwin's Frog,AMPHIBIA,ANURA,RHINODERMATIDAE,Rhinoderma,darwinii,2021,17%,Critically Depleted,High,High,Zero,High,https://www.iucnredlist.org/species/19513/79809372
Neogale vison,American Mink,MAMMALIA,CARNIVORA,MUSTELIDAE,Neogale,vison,2024,69%,Moderately Depleted,Indeterminate,Indeterminate,Low,Indeterminate,https://www.iucnredlist.org/species/41661/45214988
Nesolagus timminsi,Annamite Striped Rabbit,MAMMALIA,LAGOMORPHA,LEPORIDAE,Nesolagus,timminsi,2023,33%,Largely Depleted,Medium,Medium,Zero,Medium,https://www.iucnredlist.org/species/41209/45181925
Ophrysia superciliosa,Himalayan Quail,AVES,GALLIFORMES,PHASIANIDAE,Ophrysia,superciliosa,2024,15%,Critically Depleted,High,High,Zero,Medium,https://www.iucnredlist.org/species/22679141/132051220
Rhynchopsitta pachyrhyncha,Thick-billed Parrot,AVES,PSITTACIFORMES,PSITTACIDAE,Rhynchopsitta,pachyrhyncha,2024,20%,Critically Depleted,High,High,Zero,Medium,https://www.iucnredlist.org/species/22685766/182984346
Tarphius floresensis,Ironclad Beetle,INSECTA,COLEOPTERA,ZOPHERIDAE,Tarphius,floresensis,2024,33%,Largely Depleted,Low,Medium,Zero,Medium,https://www.iucnredlist.org/species/112215110/112215127
Telmatobius yuracare,Sehuencas Water Frog,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,yuracare,2022,11%,Critically Depleted,Zero,Zero,Zero,Medium,https://www.iucnredlist.org/species/57369/154335458
Tragelaphus buxtoni,Mountain Nyala,MAMMALIA,ARTIODACTYLA,BOVIDAE,Tragelaphus,buxtoni,2024,25%,Largely Depleted,Low,Low,Zero,Medium,https://www.iucnredlist.org/species/22046/115164345
Tragopan satyra,Satyr Tragopan,AVES,GALLIFORMES,PHASIANIDAE,Tragopan,satyra,2024,56%,Moderately Depleted,Medium,Medium,Medium,Indeterminate,https://www.iucnredlist.org/species/22679157/254103308
