title,creators,publication_date,publisher_country,distributor_country,publisher,distributor,doi,url
"A new species of Lethrinops (Cichliformes: Cichlidae) from a Lake Malawi satellite lake, believed to be extinct in the wild",George F. Turner; Denise A. Crampton; Martin J. Genner,2023-07-21,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/seet43,
Unraveling Siren (Caudata: Sirenidae) systematics and description of a small seepage specialist,Matthew T. Fedler; Kevin M. Enge; Paul E. Moler,2023-03-30,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/ke4gyv,
A new sibling species of Halyzia straminea (Hope) (Coleoptera: Coccinellidae: Halyziini) from the Indian subcontinent,J. Poorani; R. G. Booth,2006-11-09,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.174570,
"Three new species and one new subspecies of Deserticossus Yakovlev, 2006 (Lepidoptera: Cossidae) from Kazakhstan, Kyrgyzstan and Russia, with world catalogue of the genus",Roman V. Yakovlev; Thomas J. Witt,2017-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4269.3.3,
"Revision of the Oriental Chaetocnema species (Coleoptera, Chrysomelidae, Galerucinae, Alticini)",Yongying Ruan; Xingke Yang; Alexander S. Konstantinov; Kaniyarikkal D. Prathapan; Mengna Zhang,2019-11-15,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4699.1.1,
Revision Of The Australian Coccinellidae (Coleoptera). Genus Novius Mulsant Of Tribe Noviini,Hong Pang; Xue-Fei Tang; Roger G. Booth; Natalia Vandenberg; Juanita Forrester; Joseph Mchugh; Adam Ślipiński,2020-03-30,SWITZERLAND,,Plazi,,10.3161/00034541anz2020.70.1.001,
"The Crotonia fauna of New Zealand revisited (Acari: Oribatida): taxonomy, phylogeny, ecological distribution and biogeography",Matthew J. Colloff,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3947.1.1,
"Revision of the Ceratocapsine Renodaeus group: Marinonicoris, Pilophoropsis, Renodaeus, and Zanchisme, with descriptions of four new genera (Heteroptera, Miridae, Orthotylinae)",Thomas J. Henry,2015-12-31,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.3897/zookeys.490.8880,
"Revising Australian Pristomerus (Hymenoptera, Ichneumonidae, Cremastinae): species with a tooth on the hind femur",Seraina Klopfstein,2016-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4168.2.1,
Order Marsupialia,,1982-12-31,SWITZERLAND,,Plazi,,10.15468/w4bjdy,
A new species of Satyrichthys (Teleostei: Peristediidae) from the Maldives Archipelago (Indian Ocean),Claudia Pogoreutz; Simon Vitecek; Harald Ahnelt,2013-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3694.2.4,
"Revision of the Genus Leptogomphus Selys in Borneo, including gene trees and a two marker molecular phylogeny (Odonata: Anisoptera: Gomphidae)",Rory A. Dow; Frank Stokvis; Robin W. J. Ngiam,2017-11-29,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4358.2.1,
Two new cryptic species within Periphyllus koelreuteriae (Hemiptera: Aphididae) feeding on Koelreuteria (Sapindaceae) in China,Qiang Li; Liying Wu; Zhentao Cheng; Zhixiang Liu; Xiaolei Huang,2022-09-12,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/x2atsc,
"The ischnoceran chewing lice (Phthiraptera: Ischnocera) of bulbuls (Aves: Passeriformes: Pycnonotidae), with descriptions of 18 new species",Daniel R. Gustafsson; Tomas Najer; Fasheng Zou; Sarah E. Bush,2022-03-09,SWITZERLAND,,Plazi,,10.15468/rgqvg3,
"Description of a new species of Aegosoma Audinet-Serville, 1832 from Vietnam (Coleoptera: Cerambycidae: Prioninae)",Cuong Do; Alain Drumont,2014-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3793.2.10,
"Two new Staurosirella species (Staurosiraceae, Bacillariophyta) observed in an historic Rabenhorst sample",Bart Van De Vijver,2022-05-10,SWITZERLAND,,Plazi,,10.15468/ymd868,
"Redescription of the subgenus Rhithrogeniella Ulmer 1939 (Ephemeroptera, Heptageniidae, genus Ecdyonurus) based on reared specimens from India and Thailand",Nikita Kluge; T. Sivaruban; Pandiarajan Srinivasan; S. Barathy; Rajasekaran Isack,2023-07-27,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/4d3neb,
"Three new species of Baeoentedon Girault (Hymenoptera: Eulophidae) from China, with the first record of whitefly host association (Hemiptera: Aleyrodidae)",Zhu-Hong Wang; Jian Huang; Andrew Polaszek,2014-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3826.3.9,
"Grasshoppers, Crickets and Katydids (Insecta: Orthoptera) of Cuba: an annotated checklist",Sheyla Yong; Daniel E. Perez-Gelabert,2014-07-07,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3827.4.1,
A third species in the rare Australian ant genus Peronomyrmex Viehmeyer (Hymenoptera: Formicidae),Steven O Shattuck,2006-05-04,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.2646215,
"Pherecardites Horst, 1912 and Branchamphinome Hartman, 1967 are synonyms (Annelida, Amphinomidae, Amphinominae)",Joke Bleeker; Leslie Harris; Harry A. Ten Hove; Sergio I. Salazar-Vallejo,2023-07-20,SWITZERLAND,,Plazi,,10.15468/w84ucn,
"Contribution to the knowledge of Mediterranean lichen-feeding darkling beetles of the genus Stenohelops Reitter, 1922 (Coleoptera: Tenebrionidae)",Maxim V. Nabozhenko; Athanasios Mpamnaras; Konstantinos Kalaentzis,2020-12-21,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4896.2.10,
"Catalogue of type materials of springtails (Hexapoda, Collembola) in the Canadian National Collection of Insects, Arachnids & Nematodes",Sophya Stebaeva; Owen Lonsdale; Anatoly Babenko,2016-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.267103,
"Closterocerus oryzamyntor (Hymenoptera: Eulophidae: Entedoninae), a larval parasitoid of the rice hispa Dicladispa armigera in Bangladesh (Coleoptera: Chrysomelidae: Hispinae)",Alex Gumovsky; Andrew Polaszek; Sean T. Murphy; M. F. Rabbi; Chao-Dong Zhu,2006-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.172880,
"Review of the genus Eburodacrys White, 1853 (Coleoptera: Cerambycidae: Cerambycinae)",Juan Pablo Botero,2017-11-08,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4344.3.4,
Rhinolophus,George Edward Dobson,1878-12-31,SWITZERLAND,,Plazi,,10.5281/zenodo.3758443,
"Dryinidae of the Afrotropical region (Hymenoptera, Chrysidoidea)",Massimo Olmi; Robert S. Copeland; Simon Van Noort,2019-07-10,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4630.1.1,
Studies on the ant fauna of Melanesia V. The tribe Odontomachini.,,1959-12-31,SWITZERLAND,,Plazi,,10.15468/8qpjev,
"Revision of the genus Ortopla Walker, [1859] with description of two new species from Southeast Asia (Lepidoptera, Noctuidae, Pantheinae). Revision of Pantheinae, contribution X",G. Behounek; H. L. Han; V. S. Kononenko,2013-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3746.2.2,
"Australian Marsh Beetles (Coleoptera: Scirtidae). 6. Genera Calvarium Pic, Papuacyphon Zwick, and Ypsiloncyphon Klausnitzer",Peter Zwick,2014-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3846.1.1,
A monograph of the genus Westwoodia (Hymenoptera: Ichneumonidae),Robert A. Wharton; Karl Roeder; Matthew J. Yoder,2008-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.183505,
"Rosellinia qiongensis sp. nov., R. verticillata sp. nov. and a new record of R. lamprostoma from China",Sihan Long; Yinhui Pi; Youpeng Wu; Lili Liu; Xu Zhang; Qingde Long; Yan Lin; Yingqian Kang; Jichuan Kang; Nalin N. Wijayawardene; Qirui Li,2022-07-05,SWITZERLAND,,Plazi,,10.15468/wqdeac,
"Taxonomic study of the genus Eretmocera Zeller, 1852 (Lepidoptera: Scythrididae) from China, with descriptions of three new species",Kang Lou; Dian Yu; Wanxue You; Houhun Li,2019-06-28,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4624.2.4,
"The ant genus Myopias Roger, 1861 (Hymenoptera: Formicidae: Ponerinae) in Thailand, with descriptions of three new species",Weeyawat Jaitrong; Wattanachai Tasen; Benoit Guénard,2018-11-29,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4526.2.3,
Three new species of Peruvian Nelidina (Hemiptera: Cicadellidae: Neocoelidiinae) with key to males,Clayton Corrêa Gonçalves; Gabriel Mejdalani,2017-12-15,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4365.1.6,
A review of the Japanese species of Barycnemis Förster (Hymenoptera: Ichneumonidae: Tersilochinae),Andrey I. Khalaim,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3963.3.6,
